"","year","gener","total"
"1",2019,"News",0
"2",2018,"News",0
"3",2017,"News",0
"4",2016,"News",0
"5",2015,"News",1
"6",2014,"News",0
"7",2013,"News",0
"8",2012,"News",0
"9",2011,"News",0
"10",2010,"News",0
"11",2009,"News",0
"12",2008,"News",0
"13",2007,"News",0
"14",2006,"News",0
"15",2005,"News",0
"16",2004,"News",0
"17",2003,"News",0
"18",2002,"News",0
"19",2001,"News",0
"20",2000,"News",0
"21",2019,"Reality-TV",0
"22",2018,"Reality-TV",0
"23",2017,"Reality-TV",0
"24",2016,"Reality-TV",0
"25",2015,"Reality-TV",0
"26",2014,"Reality-TV",0
"27",2013,"Reality-TV",0
"28",2012,"Reality-TV",0
"29",2011,"Reality-TV",0
"30",2010,"Reality-TV",0
"31",2009,"Reality-TV",0
"32",2008,"Reality-TV",0
"33",2007,"Reality-TV",0
"34",2006,"Reality-TV",0
"35",2005,"Reality-TV",0
"36",2004,"Reality-TV",0
"37",2003,"Reality-TV",1
"38",2002,"Reality-TV",0
"39",2001,"Reality-TV",0
"40",2000,"Reality-TV",0
"41",2019,"Documentary",1
"42",2018,"Documentary",0
"43",2017,"Documentary",0
"44",2016,"Documentary",0
"45",2015,"Documentary",0
"46",2014,"Documentary",0
"47",2013,"Documentary",0
"48",2012,"Documentary",0
"49",2011,"Documentary",0
"50",2010,"Documentary",0
"51",2009,"Documentary",0
"52",2008,"Documentary",0
"53",2007,"Documentary",0
"54",2006,"Documentary",0
"55",2005,"Documentary",0
"56",2004,"Documentary",0
"57",2003,"Documentary",0
"58",2002,"Documentary",0
"59",2001,"Documentary",0
"60",2000,"Documentary",0
"61",2019,"Adult",0
"62",2018,"Adult",0
"63",2017,"Adult",0
"64",2016,"Adult",0
"65",2015,"Adult",0
"66",2014,"Adult",0
"67",2013,"Adult",0
"68",2012,"Adult",0
"69",2011,"Adult",0
"70",2010,"Adult",0
"71",2009,"Adult",0
"72",2008,"Adult",0
"73",2007,"Adult",0
"74",2006,"Adult",0
"75",2005,"Adult",0
"76",2004,"Adult",0
"77",2003,"Adult",0
"78",2002,"Adult",0
"79",2001,"Adult",0
"80",2000,"Adult",0
"81",2019,"Film-Noir",0
"82",2018,"Film-Noir",0
"83",2017,"Film-Noir",0
"84",2016,"Film-Noir",0
"85",2015,"Film-Noir",0
"86",2014,"Film-Noir",0
"87",2013,"Film-Noir",0
"88",2012,"Film-Noir",0
"89",2011,"Film-Noir",0
"90",2010,"Film-Noir",0
"91",2009,"Film-Noir",0
"92",2008,"Film-Noir",0
"93",2007,"Film-Noir",0
"94",2006,"Film-Noir",0
"95",2005,"Film-Noir",0
"96",2004,"Film-Noir",0
"97",2003,"Film-Noir",0
"98",2002,"Film-Noir",0
"99",2001,"Film-Noir",0
"100",2000,"Film-Noir",0
"101",2019,"Music",35
"102",2018,"Music",62
"103",2017,"Music",55
"104",2016,"Music",35
"105",2015,"Music",47
"106",2014,"Music",52
"107",2013,"Music",44
"108",2012,"Music",37
"109",2011,"Music",33
"110",2010,"Music",41
"111",2009,"Music",41
"112",2008,"Music",42
"113",2007,"Music",46
"114",2006,"Music",43
"115",2005,"Music",44
"116",2004,"Music",45
"117",2003,"Music",20
"118",2002,"Music",28
"119",2001,"Music",24
"120",2000,"Music",22
"121",2019,"Musical",19
"122",2018,"Musical",23
"123",2017,"Musical",32
"124",2016,"Musical",30
"125",2015,"Musical",23
"126",2014,"Musical",27
"127",2013,"Musical",23
"128",2012,"Musical",28
"129",2011,"Musical",30
"130",2010,"Musical",25
"131",2009,"Musical",18
"132",2008,"Musical",24
"133",2007,"Musical",23
"134",2006,"Musical",34
"135",2005,"Musical",37
"136",2004,"Musical",25
"137",2003,"Musical",29
"138",2002,"Musical",31
"139",2001,"Musical",28
"140",2000,"Musical",28
"141",2019,"Animation",106
"142",2018,"Animation",112
"143",2017,"Animation",108
"144",2016,"Animation",100
"145",2015,"Animation",97
"146",2014,"Animation",92
"147",2013,"Animation",90
"148",2012,"Animation",98
"149",2011,"Animation",92
"150",2010,"Animation",78
"151",2009,"Animation",71
"152",2008,"Animation",61
"153",2007,"Animation",70
"154",2006,"Animation",69
"155",2005,"Animation",41
"156",2004,"Animation",49
"157",2003,"Animation",43
"158",2002,"Animation",38
"159",2001,"Animation",40
"160",2000,"Animation",37
"161",2019,"Sport",48
"162",2018,"Sport",44
"163",2017,"Sport",38
"164",2016,"Sport",57
"165",2015,"Sport",32
"166",2014,"Sport",35
"167",2013,"Sport",44
"168",2012,"Sport",17
"169",2011,"Sport",40
"170",2010,"Sport",19
"171",2009,"Sport",35
"172",2008,"Sport",31
"173",2007,"Sport",46
"174",2006,"Sport",34
"175",2005,"Sport",30
"176",2004,"Sport",22
"177",2003,"Sport",17
"178",2002,"Sport",17
"179",2001,"Sport",18
"180",2000,"Sport",18
"181",2019,"Thriller",503
"182",2018,"Thriller",552
"183",2017,"Thriller",595
"184",2016,"Thriller",578
"185",2015,"Thriller",552
"186",2014,"Thriller",527
"187",2013,"Thriller",512
"188",2012,"Thriller",415
"189",2011,"Thriller",368
"190",2010,"Thriller",371
"191",2009,"Thriller",342
"192",2008,"Thriller",291
"193",2007,"Thriller",284
"194",2006,"Thriller",292
"195",2005,"Thriller",211
"196",2004,"Thriller",198
"197",2003,"Thriller",171
"198",2002,"Thriller",181
"199",2001,"Thriller",188
"200",2000,"Thriller",204
"201",2019,"Sci-Fi",102
"202",2018,"Sci-Fi",140
"203",2017,"Sci-Fi",152
"204",2016,"Sci-Fi",144
"205",2015,"Sci-Fi",146
"206",2014,"Sci-Fi",132
"207",2013,"Sci-Fi",146
"208",2012,"Sci-Fi",106
"209",2011,"Sci-Fi",108
"210",2010,"Sci-Fi",93
"211",2009,"Sci-Fi",84
"212",2008,"Sci-Fi",72
"213",2007,"Sci-Fi",66
"214",2006,"Sci-Fi",59
"215",2005,"Sci-Fi",58
"216",2004,"Sci-Fi",59
"217",2003,"Sci-Fi",46
"218",2002,"Sci-Fi",40
"219",2001,"Sci-Fi",57
"220",2000,"Sci-Fi",41
"221",2019,"Action",460
"222",2018,"Action",493
"223",2017,"Action",524
"224",2016,"Action",516
"225",2015,"Action",454
"226",2014,"Action",441
"227",2013,"Action",408
"228",2012,"Action",371
"229",2011,"Action",379
"230",2010,"Action",378
"231",2009,"Action",352
"232",2008,"Action",313
"233",2007,"Action",282
"234",2006,"Action",253
"235",2005,"Action",246
"236",2004,"Action",254
"237",2003,"Action",230
"238",2002,"Action",223
"239",2001,"Action",229
"240",2000,"Action",180
"241",2019,"Family",141
"242",2018,"Family",153
"243",2017,"Family",152
"244",2016,"Family",155
"245",2015,"Family",164
"246",2014,"Family",159
"247",2013,"Family",156
"248",2012,"Family",137
"249",2011,"Family",107
"250",2010,"Family",113
"251",2009,"Family",109
"252",2008,"Family",93
"253",2007,"Family",83
"254",2006,"Family",94
"255",2005,"Family",94
"256",2004,"Family",66
"257",2003,"Family",81
"258",2002,"Family",65
"259",2001,"Family",64
"260",2000,"Family",67
"261",2019,"Comedy",870
"262",2018,"Comedy",1035
"263",2017,"Comedy",1040
"264",2016,"Comedy",1040
"265",2015,"Comedy",987
"266",2014,"Comedy",1006
"267",2013,"Comedy",923
"268",2012,"Comedy",902
"269",2011,"Comedy",813
"270",2010,"Comedy",755
"271",2009,"Comedy",751
"272",2008,"Comedy",746
"273",2007,"Comedy",710
"274",2006,"Comedy",739
"275",2005,"Comedy",665
"276",2004,"Comedy",621
"277",2003,"Comedy",626
"278",2002,"Comedy",509
"279",2001,"Comedy",541
"280",2000,"Comedy",490
"281",2019,"Western",16
"282",2018,"Western",15
"283",2017,"Western",23
"284",2016,"Western",12
"285",2015,"Western",9
"286",2014,"Western",16
"287",2013,"Western",10
"288",2012,"Western",11
"289",2011,"Western",14
"290",2010,"Western",9
"291",2009,"Western",11
"292",2008,"Western",5
"293",2007,"Western",10
"294",2006,"Western",7
"295",2005,"Western",8
"296",2004,"Western",3
"297",2003,"Western",6
"298",2002,"Western",5
"299",2001,"Western",7
"300",2000,"Western",11
"301",2019,"Horror",383
"302",2018,"Horror",476
"303",2017,"Horror",497
"304",2016,"Horror",452
"305",2015,"Horror",475
"306",2014,"Horror",454
"307",2013,"Horror",402
"308",2012,"Horror",362
"309",2011,"Horror",303
"310",2010,"Horror",299
"311",2009,"Horror",302
"312",2008,"Horror",263
"313",2007,"Horror",269
"314",2006,"Horror",270
"315",2005,"Horror",197
"316",2004,"Horror",173
"317",2003,"Horror",129
"318",2002,"Horror",103
"319",2001,"Horror",102
"320",2000,"Horror",95
"321",2019,"Mystery",185
"322",2018,"Mystery",237
"323",2017,"Mystery",250
"324",2016,"Mystery",221
"325",2015,"Mystery",215
"326",2014,"Mystery",195
"327",2013,"Mystery",178
"328",2012,"Mystery",143
"329",2011,"Mystery",133
"330",2010,"Mystery",119
"331",2009,"Mystery",135
"332",2008,"Mystery",124
"333",2007,"Mystery",129
"334",2006,"Mystery",121
"335",2005,"Mystery",121
"336",2004,"Mystery",102
"337",2003,"Mystery",77
"338",2002,"Mystery",86
"339",2001,"Mystery",93
"340",2000,"Mystery",71
"341",2019,"War",39
"342",2018,"War",38
"343",2017,"War",44
"344",2016,"War",35
"345",2015,"War",43
"346",2014,"War",43
"347",2013,"War",28
"348",2012,"War",42
"349",2011,"War",51
"350",2010,"War",32
"351",2009,"War",31
"352",2008,"War",37
"353",2007,"War",28
"354",2006,"War",29
"355",2005,"War",25
"356",2004,"War",31
"357",2003,"War",23
"358",2002,"War",22
"359",2001,"War",25
"360",2000,"War",23
"361",2019,"Fantasy",105
"362",2018,"Fantasy",150
"363",2017,"Fantasy",141
"364",2016,"Fantasy",140
"365",2015,"Fantasy",126
"366",2014,"Fantasy",127
"367",2013,"Fantasy",108
"368",2012,"Fantasy",106
"369",2011,"Fantasy",110
"370",2010,"Fantasy",86
"371",2009,"Fantasy",110
"372",2008,"Fantasy",105
"373",2007,"Fantasy",96
"374",2006,"Fantasy",100
"375",2005,"Fantasy",88
"376",2004,"Fantasy",66
"377",2003,"Fantasy",73
"378",2002,"Fantasy",63
"379",2001,"Fantasy",73
"380",2000,"Fantasy",64
"381",2019,"Adventure",206
"382",2018,"Adventure",240
"383",2017,"Adventure",262
"384",2016,"Adventure",239
"385",2015,"Adventure",228
"386",2014,"Adventure",217
"387",2013,"Adventure",224
"388",2012,"Adventure",180
"389",2011,"Adventure",170
"390",2010,"Adventure",141
"391",2009,"Adventure",170
"392",2008,"Adventure",140
"393",2007,"Adventure",138
"394",2006,"Adventure",146
"395",2005,"Adventure",124
"396",2004,"Adventure",125
"397",2003,"Adventure",124
"398",2002,"Adventure",103
"399",2001,"Adventure",95
"400",2000,"Adventure",86
"401",2019,"History",79
"402",2018,"History",101
"403",2017,"History",86
"404",2016,"History",77
"405",2015,"History",73
"406",2014,"History",78
"407",2013,"History",70
"408",2012,"History",72
"409",2011,"History",64
"410",2010,"History",63
"411",2009,"History",52
"412",2008,"History",43
"413",2007,"History",43
"414",2006,"History",44
"415",2005,"History",33
"416",2004,"History",25
"417",2003,"History",22
"418",2002,"History",18
"419",2001,"History",22
"420",2000,"History",27
"421",2019,"Drama",1530
"422",2018,"Drama",1708
"423",2017,"Drama",1812
"424",2016,"Drama",1707
"425",2015,"Drama",1621
"426",2014,"Drama",1572
"427",2013,"Drama",1501
"428",2012,"Drama",1371
"429",2011,"Drama",1386
"430",2010,"Drama",1305
"431",2009,"Drama",1305
"432",2008,"Drama",1249
"433",2007,"Drama",1208
"434",2006,"Drama",1173
"435",2005,"Drama",1094
"436",2004,"Drama",980
"437",2003,"Drama",881
"438",2002,"Drama",887
"439",2001,"Drama",874
"440",2000,"Drama",801
"441",2019,"Crime",305
"442",2018,"Crime",304
"443",2017,"Crime",342
"444",2016,"Crime",332
"445",2015,"Crime",268
"446",2014,"Crime",295
"447",2013,"Crime",276
"448",2012,"Crime",249
"449",2011,"Crime",245
"450",2010,"Crime",253
"451",2009,"Crime",249
"452",2008,"Crime",253
"453",2007,"Crime",271
"454",2006,"Crime",241
"455",2005,"Crime",204
"456",2004,"Crime",183
"457",2003,"Crime",187
"458",2002,"Crime",205
"459",2001,"Crime",194
"460",2000,"Crime",215
"461",2019,"Biography",108
"462",2018,"Biography",131
"463",2017,"Biography",121
"464",2016,"Biography",121
"465",2015,"Biography",98
"466",2014,"Biography",99
"467",2013,"Biography",89
"468",2012,"Biography",58
"469",2011,"Biography",64
"470",2010,"Biography",68
"471",2009,"Biography",59
"472",2008,"Biography",63
"473",2007,"Biography",55
"474",2006,"Biography",47
"475",2005,"Biography",41
"476",2004,"Biography",38
"477",2003,"Biography",27
"478",2002,"Biography",22
"479",2001,"Biography",30
"480",2000,"Biography",40
"481",2019,"Romance",312
"482",2018,"Romance",392
"483",2017,"Romance",410
"484",2016,"Romance",423
"485",2015,"Romance",433
"486",2014,"Romance",455
"487",2013,"Romance",426
"488",2012,"Romance",344
"489",2011,"Romance",350
"490",2010,"Romance",337
"491",2009,"Romance",354
"492",2008,"Romance",355
"493",2007,"Romance",352
"494",2006,"Romance",343
"495",2005,"Romance",334
"496",2004,"Romance",327
"497",2003,"Romance",311
"498",2002,"Romance",328
"499",2001,"Romance",299
"500",2000,"Romance",285
"501",NA,NA,NA
